组别,姓名,性别,出生年,出身月,出生地,出生地（经度）,出生地（纬度）,籍贯,籍贯（精度）,籍贯（纬度）,毕业学校,毕业学校（经度）,毕业学校（纬度）,专业,毕业时间,当选时间,获得称谓的单位
1.0,艾国祥,男,1938,2,湖南,112.35518,28.55386,,,,北京大学,,,天体物理,1963,1993.0,中国科学院国家天文台
1.0,白以龙,男,1940,12,云南,100.550946,25.48385,浙江,121.71654,29.948998,中国科学技术大学,,,力学,1963,1991.0,中国科学院力学学研究所
1.0,蔡荣根,男,1964,9,浙江,120.15507,30.274084,,,,杭州师范学院物理系大学,,,理论物理,1985,2017.0,中国科学院理论物理研究所
1.0,陈彪,男,1923,11,福建,119.296494,26.074507,,,,成都金陵大学,,,天文,1946,1980.0,中国科学院紫金山天文台
1.0,陈和生,男,1946,,湖北,114.305392,30.593098,福建,119.296494,26.074507,北京大学,,,粒子物理,1970,2005.0,中国科学院高能物理研究所
1.0,陈佳洱,男,1934,10,上海,121.473701,31.230416,,,,吉林大学,,,核物理,1954,1993.0,
1.0,陈建生,男,1938,7,福建,119.296494,26.074507,,,,北京大学,,,天体物理,1963,1991.0,中国科学院国家天文台
1.0,陈木法,男,1946,8,福建,118.796605,25.030781,,,,北京师范大学,,,数学,1969,2003.0,
1.0,陈难先,男,1937,10,上海,121.473701,31.230416,浙江,120.15507,30.274084,北京大学,,,物理,1962,1997.0,
1.0,陈十一,男,1956,10,浙江,121.006725,29.144079,,,,浙江大学,,,力学,1981,2013.0,
1.0,陈式刚,男,1935,11,浙江,120.699366,27.994267,,,,复旦大学,,,理论物理,1958,2001.0,北京应用物理与计算数学学研究所
1.0,陈恕行,男,1941,6,上海,121.473701,31.230416,浙江,121.71654,29.948998,复旦大学,,,数学,1962,2013.0,
1.0,陈仙辉,男,1963,3,湖南,112.950831,27.778958,,,,宜春学院物理系大学,,,物理,1982,2015.0,
1.0,陈永川,男,1964,3,四川,106.110698,30.837793,,,,四川大学,,,数学,1984,2011.0,
1.0,陈志明,男,1965,7,江苏,120.585315,31.298886,浙江,120.086823,30.894348,南京大学,,,计算数学,1986,2017.0,中国科学院数学学与系统科学研究院
1.0,程开甲,男,1918,8,江苏,120.645158,31.138677,,,,浙江大学,,,物理,1941,1980.0,
1.0,崔向群,女,1951,12,重庆,108.408661,30.807667,山东,118.131815,37.150226,南京理工大学,,,天文,1975,,中国科学院国家天文台南京天文光学技术研究所
1.0,戴元本,男,1928,7,江苏,118.796877,32.060255,湖南,111.698497,29.031673,南京大学,,,理论物理、粒子物理,1952,1980.0,中国科学院理论物理研究所
1.0,邓小刚,男,1960,9,四川,104.679114,31.46745,四川,104.678749,31.033051,西北工业大学,,,空气动力学,1987,2015.0,
1.0,杜江峰,男,1969,6,江苏,120.31191,31.491169,,,,中国科学技术大学,,,物理,1990,2015.0,
1.0,鄂维南,男,1963,9,江苏,120.277138,31.982751,,,,中国科技大学,,,数学,1982,2011.0,
1.0,范海福,男,1933,8,广东,113.264434,23.129162,,,,北京大学,,,晶体,1956,1991.0,中国科学院物理研究所
1.0,方成,男,1938,8,江苏,120.284939,31.920658,,,,南京大学,,,天体物理,1959,1995.0,
1.0,方复全,男,1964,10,安徽,116.97412,31.0358,安徽,116.97412,31.0358,华中科技大学,,,数学,1986,2017.0,
1.0,方守贤,男,1932,10,上海,121.473701,31.230416,安徽,117.217503,31.790999,复旦大学,,,加速器物理,1955,1991.0,中国科学院高能物理研究所
1.0,冯端,男,1923,6,江苏,120.585315,31.298886,浙江,120.580232,30.029752,中央大学,,,凝聚态物理,1946,1980.0,
1.0,甘子钊,男,1938,4,广东,110.947044,22.354385,,,,北京大学,,,物理,1959,1991.0,
1.0,高鸿钧,男,1963,8,安徽,117.205234,32.970031,,,,安徽教育学院物理系大学,,,凝聚态物理,1987,2011.0,中国科学院物理研究所
1.0,葛墨林,男,1938,12,北京,116.407526,39.90403,河北,118.912571,39.425608,兰州大学,,,理论物理,1961,2003.0,
1.0,龚昌德,男,1932,7,江苏,118.796877,32.060255,,,,复旦大学,,,物理,1953,2005.0,
